timestamp,name,X,Y,pitch,loaded,destination,Emergency,TaskId
62,Agv06,2,12,90,true,EP04,false,
62,Agv07,5,13,90,true,EP08,false,
62,Agv08,14,10,180,true,EP01,false,
62,Agv09,5,9,180,false,,false,
62,Agv10,8,6,0,true,EP11,false,
62,Agv11,12,5,270,false,,false,
62,Agv12,2,4,90,false,,false,
63,Agv01,3,15,0,true,EP12,false,
63,Agv02,19,7,270,false,,false,
63,Agv03,14,6,180,true,EP01,false,
63,Agv04,16,11,0,false,,false,
63,Agv05,4,14,180,false,,false,
63,Agv06,2,13,90,true,EP04,false,
63,Agv07,5,14,90,true,EP08,false,
63,Agv08,13,10,180,true,EP01,false,
63,Agv09,4,9,180,false,,false,
63,Agv10,9,6,0,true,EP11,false,
63,Agv11,12,5,0,false,,false,
63,Agv12,2,5,90,false,,false,
64,Agv01,4,15,0,true,EP12,false,
64,Agv02,19,6,270,false,,false,
64,Agv03,13,6,180,true,EP01,false,
64,Agv04,17,11,0,false,,false,
64,Agv05,3,14,180,false,,false,
64,Agv06,2,14,90,true,EP04,false,
64,Agv07,5,15,90,true,EP08,false,
64,Agv08,12,10,180,true,EP01,false,
64,Agv09,3,9,180,false,,false,
64,Agv10,10,6,0,true,EP11,false,
64,Agv11,13,5,0,false,,false,
64,Agv12,2,6,90,false,,false,
65,Agv01,4,15,90,true,EP12,false,
65,Agv02,19,6,270,true,EP10,false,
65,Agv03,12,6,180,true,EP01,false,
65,Agv04,18,11,0,false,,false,
65,Agv05,2,14,180,false,,false,
65,Agv06,2,15,90,true,EP04,false,
65,Agv07,5,15,0,true,EP08,false,
65,Agv08,11,10,180,true,EP01,false,
65,Agv09,2,9,180,false,,false,
65,Agv10,11,6,0,true,EP11,false,
65,Agv11,14,5,0,false,,false,
65,Agv12,2,6,90,true,EP06,false,
66,Agv01,4,16,90,true,EP12,false,
66,Agv02,19,6,180,true,EP10,false,
66,Agv03,12,6,270,true,EP01,false,
66,Agv04,19,11,0,false,,false,
66,Agv05,2,14,180,true,EP07,false,
66,Agv06,2,16,90,true,EP04,false,
66,Agv07,6,15,0,true,EP08,false,
66,Agv08,10,10,180,true,EP01,false,
66,Agv09,2,9,90,false,,false,
66,Agv10,11,6,90,true,EP11,false,
66,Agv11,15,5,0,false,,false,
66,Agv12,2,7,90,true,EP06,false,
67,Agv01,4,17,90,true,EP12,false,
67,Agv02,18,6,180,true,EP10,false,
67,Agv03,12,5,270,true,EP01,false,
67,Agv04,19,11,270,false,,false,
67,Agv05,2,14,0,true,EP07,false,
67,Agv06,2,16,0,true,EP04,false,
67,Agv07,7,15,0,true,EP08,false,
67,Agv08,9,10,180,true,EP01,false,
67,Agv09,2,10,90,false,,false,
67,Agv10,11,7,90,true,EP11,false,
67,Agv11,16,5,0,false,,false,
67,Agv12,2,7,0,true,EP06,false,
68,Agv01,4,17,0,true,EP12,false,
68,Agv02,17,6,180,true,EP10,false,
68,Agv03,12,5,180,true,EP01,false,
68,Agv04,19,10,270,false,,false,
68,Agv05,3,14,0,true,EP07,false,
68,Agv06,3,16,0,true,EP04,false,
68,Agv07,8,15,0,true,EP08,false,
68,Agv08,8,10,180,true,EP01,false,
68,Agv09,2,10,90,true,EP09,false,
68,Agv10,11,8,90,true,EP11,false,
68,Agv11,17,5,0,false,,false,
68,Agv12,3,7,0,true,EP06,false,
69,Agv01,5,17,0,true,EP12,false,
69,Agv02,16,6,180,true,EP10,false,
69,Agv03,11,5,180,true,EP01,false,
69,Agv04,19,10,270,true,EP02,false,
69,Agv05,4,14,0,true,EP07,false,
69,Agv06,4,16,0,true,EP04,false,
69,Agv07,9,15,0,true,EP08,false,
69,Agv08,7,10,180,true,EP01,false,
69,Agv09,2,10,0,true,EP09,false,
69,Agv10,11,9,90,true,EP11,false,
69,Agv11,18,5,0,false,,false,
69,Agv12,4,7,0,true,EP06,false,
70,Agv01,6,17,0,true,EP12,false,
70,Agv02,15,6,180,true,EP10,false,
70,Agv03,10,5,180,true,EP01,false,
70,Agv04,19,9,270,true,EP02,false,
70,Agv05,5,14,0,true,EP07,false,
70,Agv06,5,16,0,true,EP04,false,
70,Agv07,9,15,0,false,,false,
70,Agv08,7,10,270,true,EP01,false,
70,Agv09,3,10,0,true,EP09,false,
70,Agv10,11,10,90,true,EP11,false,
70,Agv11,19,5,0,false,,false,
70,Agv12,5,7,0,true,EP06,false,
71,Agv01,7,17,0,true,EP12,false,
